SiteCode,SiteName,Latitude,Longitude,LocalAuthorityID,SiteClassification,HeadHeight,ToRoad,SiteLocationType,Indoor,SitePhotoURL,SiteDescription,SleepTime,BatteryStatus,BatteryPercentage,SignalStrength,SensorsHealthStatus,OverallStatus,DeviceCode,StartDate,EndDate,LastCommunication,InputPowerError,InputPowerCurrent,InputPowerVoltage,InputBatteryError,InputBatteryVoltage,ChargingStatus,SignalQuality,BatterySleepMultiplier,WeatherError,PMError,NO2Error,LatestINO2Value,LatestINO2Index,LatestINO2IndexSource,LatestIPM10Value,LatestIPM10NUMValue,LatestIPM1Value,LatestIPM1NUMValue,LatestIPM25Value,LatestIPM25Index,LatestIPM25IndexSource,LatestIPM25NUMValue,LatestRELHUMValue,LatestTEMPERATValue,SiteActive,SiteGroup,PowerTag,Enabled,OtherTags,OrganisationName,SponsorName,HourlyBulletinEnd
CLDP0001,Royal London University Hospital,51.518775939941406,-0.059463899582624435,,Urban Background,2.4000000953674316,30.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0001.jpg,"The Royal London Hospital is home to one of the largest children’s hospitals in the UK with one of London's busiest paediatric accident and emergency departments.

It is also home to London’s Air Ambulance service and one of the capital's leading trauma and emergency care centres and hyper-acute stroke centres.

The Breathe London Node is located near the entrance to A&E to assess the exposure of visitors, patients and staff at the hospital.",4800.0,discharging normally,90.0,4-excellent,OK,healthy,A7Y9WHYD,2021-01-22T08:59:25.167Z,,2023-12-06T20:46:25.753Z,0,0,0.0,0,3.8503003120422363,7,31,16,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, GLA, Solar300, Tower Hamlets, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0002,North Middlesex University Hospital,51.61304473876953,-0.07539220154285431,,Roadside,2.0999999046325684,4.800000190734863,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0002.jpg,"North Middlesex University Hospital has been serving the community for over a century. The first hospital buildings on the present site were built in 1909.

The hospital has expanded and modernised over the years, improving the medical, surgical, stroke and children’s services including a brand new maternity and neonatal unit. The new maternity unit is equipped with with state-of-the-art facilities and is among the best NHS maternity units in the country.

The Breathe London Node is located by the front entrance and serves to assess the exposure of visitors, patients and staff at the hospital.",1.0,fully charged,99.0,4-excellent,OK,healthy,ABZ4Z89V,2021-10-08T12:01:00.000Z,,2023-12-06T22:30:16.847Z,0,98,5.1851301193237305,0,4.172635555267334,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, GLA, Haringey, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0003,Newham University Hospital,51.52320861816406,0.03394399955868721,,Urban Background,2.700000047683716,7.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0003.jpg,"Newham University Hospital serves one of the most diverse populations in England. The hospital cares for more than 500 patients in its A&E department every day and is home to one of the largest maternity units in the UK with more than 6,000 births each year.

The hospital's state-of-the-art Rainbow Centre is geared up to meet the needs of its young patients and their families in a child-friendly environment. 

The Breathe London Node is located on a flag pole by the entrance to the A&E department where patients are picked up and dropped off.",300.0,discharging normally,98.0,4-excellent,OK,healthy,ABZPKJ6Y,2021-01-22T09:10:00.553Z,,2023-12-06T22:27:05.647Z,0,0,0.0,0,4.066298007965088,7,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, GLA, Newham, Solar300, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0004,Whipps Cross Hospital,51.57942581176758,0.001091000041924417,,Urban Background,3.4000000953674316,15.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0004.jpg,"Whipps Cross Hospital has a strong reputation as a centre of excellence for various specialist services, including urology, ENT, audiology, cardiology, colorectal surgery, cancer care and acute stroke care.

Thanks to £6.7m in funding from Barts Charity, the hospital is making a series of improvements to its Maternity and Neonatal services to improve the environment and prepare for an increase in birth rates in its local population. This will include a dedicated clinical research hub for women's services.

The Breathe London Node is located by the main entrance near the car park to assess exposure for staff, patients and visitors.",1200.0,discharging normally,93.0,4-excellent,OK,healthy,AVG1P63Y,2021-01-22T09:14:14.387Z,,2023-12-07T01:07:25.073Z,0,0,0.0,0,3.905684232711792,7,31,4,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, GLA, Solar300, V1, Waltham Forest",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0005,Charing Cross Hospital,51.48735046386719,-0.22156000137329102,,Urban Background,3.5,12.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0005.jpg,"Charing Cross Hospital provides a range of acute and specialist services, a 24/7 accident and emergency department and hosts the hyper acute stroke unit for the region.

It is also a growing hub for integrated care in partnership with local GPs and community providers.

The Breathe London Node is located on a wall near the entrance on Fulham Palace Road.",1.0,fully charged,99.0,4-excellent,OK,healthy,A640BNCD,2021-01-23T10:11:51.853Z,,2023-12-07T03:34:21.303Z,0,80,5.192920207977295,0,4.162666320800781,4,28,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, GLA, Hammersmith and Fulham, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0006,Royal Marsden Hospital,51.490806579589844,-0.17327700555324554,,Roadside,1.7999999523162842,3.200000047683716,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0006.jpg,"The Royal Marsden Hospital opened in 1851 as the world’s first hospital dedicated to cancer diagnosis, treatment, research and education.

Today it operates as a specialist cancer hospital and National Institute for Health Research (NIHR) Biomedical Research Centre for Cancer, working closely with its principal academic partner, the Institute of Cancer Research (ICR).

The Breathe London Node is located on railings near the main entrance on the Fulham Road.",1.0,fully charged,99.0,4-excellent,OK,healthy,AGH6P1GM,2021-06-09T18:29:26.000Z,,2023-12-06T23:00:01.507Z,0,105,5.184850215911865,0,4.110605239868164,4,27,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,N,"Deployed, GLA, Kensington and Chelsea, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0007,Royal Free Hospital,51.55366134643555,-0.16644823551177979,,Roadside,3.0,2.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0007.jpg,"Established in 1828 by William Marsden, the Royal Free's founding principle was that they would take in anyone who needed treatment – the first hospital in London to do so and the only London hospital to stay open during the 19th-century cholera epidemics.

In the 21st century, the hospital continues to lead improvements in healthcare and is proud to have some of the best clinical outcomes in the country.

The Breathe London Node is located in the busy pick-up and drop-off area by the entrance assessing exposure of staff, visitors and patients.",4800.0,discharging normally,91.0,4-excellent,OK,healthy,A3TY3Q03,2021-01-28T23:07:38.843Z,,2023-12-07T02:54:59.380Z,0,0,0.0,0,3.8658077716827393,7,26,16,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Camden, Deployed, GLA, Solar300, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0008,Great Ormond Street Hospital,51.521881103515625,-0.12046917527914047,,Roadside,3.200000047683716,5.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0008.jpg,"Great Ormond Street Hospital is an international centre of excellence in child healthcare. It's mission is to put the ‘child first and always’.

Since its formation in 1852, the hospital has been dedicated to children’s healthcare and to finding new and better ways to treat childhood illnesses.

The Breathe London Node is located by the main entrance which receives 237,908 outpatient visits and 43,218 inpatient visits every year.",1.0,fully charged,99.0,4-excellent,OK,healthy,A8THQR6Z,2021-01-28T22:58:33.337Z,,2023-12-06T22:04:11.440Z,0,104,5.173060417175293,0,4.12500524520874,4,26,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Camden, Deployed, GLA, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0009,St Thomas' Hospital,51.500064849853516,-0.11880327761173248,,Urban Background,2.5999999046325684,80.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0009.jpg,"Guy's and St Thomas' is one of the busiest and most successful NHS foundation trusts in the country.

The hospital provides a full range of hospital and community services for people in Lambeth, Southwark and Lewisham, as well as specialist care for patients from further afield including cancer, renal, orthopaedic and cardiovascular services.

The Breathe London Node is located on a pole by the main entrance off Westminster Bridge.",4800.0,discharging normally,90.0,4-excellent,OK,healthy,AFM334TS,2021-01-28T23:10:36.443Z,,2023-12-06T22:11:55.537Z,0,0,0.0,0,3.851408004760742,7,30,16,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, GLA, Lambeth, Solar300, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0010,New Cross (reference co-location),51.474952697753906,-0.03964100033044815,,Urban Background,2.5999999046325684,5.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0010.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,98.0,4-excellent,OK,healthy,AL1GYP52,2021-02-10T11:03:42.350Z,,2023-12-06T23:36:58.123Z,0,107,5.193050384521484,0,4.076267242431641,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Lewisham, Long Term Issue, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
